Date,Centre_Name,Commodity_Name,Price
02-02-09,T.PURAM,Rice,NA
02-02-09,CHENNAI,Rice,NA
02-02-09,HYDERABAD,Rice,NA
03-02-09,CHANDIGARH,Rice,NA
03-02-09,DELHI,Rice,1650
03-02-09,SHIMLA,Rice,NA
03-02-09,SRINAGAR,Rice,NA
03-02-09,JAMMU,Rice,NA
03-02-09,AMRITSAR,Rice,1400
03-02-09,LUDHIANA,Rice,1400
03-02-09,LUCKNOW,Rice,1475
03-02-09,DEHRADUN,Rice,NA
03-02-09,RAIPUR,Rice,NA
03-02-09,AHMEDABAD,Rice,NA
03-02-09,BHOPAL,Rice,NA
03-02-09,MUMBAI,Rice,NA
03-02-09,JAIPUR,Rice,1500
03-02-09,PATNA,Rice,NA
03-02-09,RANCHI,Rice,NA
03-02-09,BHUBANESHWAR,Rice,1450
03-02-09,KOLKATA,Rice,NA
03-02-09,GUWAHATI,Rice,NA
03-02-09,SHILLONG,Rice,NA
03-02-09,AIZWAL,Rice,NA
03-02-09,KOHIMA,Rice,NA
03-02-09,AGARTALA,Rice,NA
03-02-09,BENGALURU,Rice,1600
03-02-09,T.PURAM,Rice,NA
03-02-09,CHENNAI,Rice,NA
03-02-09,HYDERABAD,Rice,NA
04-02-09,CHANDIGARH,Rice,NA
04-02-09,DELHI,Rice,1650
04-02-09,SHIMLA,Rice,NA
04-02-09,SRINAGAR,Rice,NA
04-02-09,JAMMU,Rice,NA
04-02-09,AMRITSAR,Rice,1400
04-02-09,LUDHIANA,Rice,1400
04-02-09,LUCKNOW,Rice,NA
04-02-09,DEHRADUN,Rice,1380
04-02-09,RAIPUR,Rice,NA
04-02-09,AHMEDABAD,Rice,NA
04-02-09,BHOPAL,Rice,1600
04-02-09,MUMBAI,Rice,NA
04-02-09,JAIPUR,Rice,1500
04-02-09,PATNA,Rice,NA
04-02-09,RANCHI,Rice,NA
04-02-09,BHUBANESHWAR,Rice,1450
04-02-09,KOLKATA,Rice,NA
04-02-09,GUWAHATI,Rice,NA
04-02-09,SHILLONG,Rice,NA
04-02-09,AIZWAL,Rice,NA
04-02-09,KOHIMA,Rice,NA
04-02-09,AGARTALA,Rice,NA
04-02-09,BENGALURU,Rice,1600
04-02-09,T.PURAM,Rice,NA
04-02-09,CHENNAI,Rice,1650
04-02-09,HYDERABAD,Rice,NA
05-02-09,CHANDIGARH,Rice,NA
05-02-09,DELHI,Rice,1650
05-02-09,SHIMLA,Rice,NA
05-02-09,SRINAGAR,Rice,NA
05-02-09,JAMMU,Rice,NA
05-02-09,AMRITSAR,Rice,1400
05-02-09,LUDHIANA,Rice,1400
05-02-09,LUCKNOW,Rice,1475
05-02-09,DEHRADUN,Rice,NA
05-02-09,RAIPUR,Rice,NA
05-02-09,AHMEDABAD,Rice,NA
05-02-09,BHOPAL,Rice,NA
05-02-09,MUMBAI,Rice,NA
05-02-09,JAIPUR,Rice,NA
05-02-09,PATNA,Rice,NA
05-02-09,RANCHI,Rice,NA
05-02-09,BHUBANESHWAR,Rice,1450
05-02-09,KOLKATA,Rice,NA
05-02-09,GUWAHATI,Rice,NA
05-02-09,SHILLONG,Rice,NA
05-02-09,AIZWAL,Rice,NA
05-02-09,KOHIMA,Rice,NA
05-02-09,AGARTALA,Rice,NA
05-02-09,BENGALURU,Rice,1600
05-02-09,T.PURAM,Rice,NA
05-02-09,CHENNAI,Rice,NA
05-02-09,HYDERABAD,Rice,NA
06-02-09,CHANDIGARH,Rice,NA
06-02-09,DELHI,Rice,1650
06-02-09,SHIMLA,Rice,NA
06-02-09,SRINAGAR,Rice,NA
06-02-09,JAMMU,Rice,NA
06-02-09,AMRITSAR,Rice,1400
06-02-09,LUDHIANA,Rice,1400
06-02-09,LUCKNOW,Rice,1475
06-02-09,DEHRADUN,Rice,NA
06-02-09,RAIPUR,Rice,NA
06-02-09,AHMEDABAD,Rice,NA
06-02-09,BHOPAL,Rice,1600
06-02-09,MUMBAI,Rice,NA
06-02-09,JAIPUR,Rice,NA
06-02-09,PATNA,Rice,NA
06-02-09,RANCHI,Rice,NA
06-02-09,BHUBANESHWAR,Rice,1450
06-02-09,KOLKATA,Rice,NA
06-02-09,GUWAHATI,Rice,NA
06-02-09,SHILLONG,Rice,NA
06-02-09,AIZWAL,Rice,NA
06-02-09,KOHIMA,Rice,NA
06-02-09,AGARTALA,Rice,NA
06-02-09,BENGALURU,Rice,1600
06-02-09,T.PURAM,Rice,NA
06-02-09,CHENNAI,Rice,NA
06-02-09,HYDERABAD,Rice,NA
09-02-09,CHANDIGARH,Rice,NA
09-02-09,DELHI,Rice,1650
09-02-09,SHIMLA,Rice,NA
09-02-09,SRINAGAR,Rice,NA
09-02-09,JAMMU,Rice,NA
09-02-09,AMRITSAR,Rice,NA
09-02-09,LUDHIANA,Rice,NA
09-02-09,LUCKNOW,Rice,1475
09-02-09,DEHRADUN,Rice,NA
